titre,entreprise,description,localisation,date_publication,date_limite,nombre_postes,niveau_experience,niveau_etudes_requis,competences_cles,contrat_propose,teletravail,lien
Contrôleur Financier Senior,,"Rattaché(e) au Directeur Administratif & Financier, vous jouerez un rôle clé dans la gestion des opérations administratives liées à la gestion financière et à la performance globale de...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-controleur-financier-senior-recrutement-confidentiel-casablanca-167764.html
Stagiaires PFE en Développement informatique,,"Dans le cadre de notre campagne de stages PFE 2025, nous sommes à la recherche de stagiaires sérieux, motivés et ambitieux ayant un esprit d'équipe pour participer à des projets liés au domaine du...",Casablanca (Maroc),,,,Débutant,Bac +5 et plus,"['Informatique ', ' Electronique']",Stage,Non,https://www.rekrute.com/offre-emploi-stagiaires-pfe-en-developpement-informatique-recrutement-confidentiel-casablanca-167482.html
Directeur(trice) médical(e) - DIRECTION DES AFFAIRES MEDICALES,HUIR - L'Hôpital Universitaire International de Rabat,"Manager la Direction des affaires médicales : • Manager les équipes de la direction et des directeurs de spécialités médicales : organisation, motivation et évaluation • Assurer le pilotage de...",Rabat (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 10 à 20 ans,Bac +5 et plus,"['Médical ', ' Paramédical']",CDI,Non,https://www.rekrute.com/offre-emploi-directeurtrice-medicale---direction-des-affaires-medicales-recrutement-huir---lhopital-universitaire-international-de-rabat-rabat-167763.html
Compliance and Privacy Champion,Foundever (ex Sitel Group),"Serve as the first point of contact for addressing local privacy issues, assessing when to escalate to the Regional Data Protection Officer (DPO). Execute administrative tasks related to privacy, ensuring all mandatory documentation is...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['Audit ', ' Conseil']",CDI,Non,https://www.rekrute.com/offre-emploi-compliance-and-privacy-champion-recrutement-foundever-ex-sitel-group-casablanca-167762.html
Consultant Senior Cyber Security/ Privacy (H/F),KPMG Maroc,"Votre mission, en tant que consultant(e) Senior Cybersécurité / Privacy consiste à?: Cyber Défense : Tests d’intrusion sur des applications métiers, sites web, infrastructures réseau, environnements OT,...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Audit ', ' Conseil']",CDI,Non,https://www.rekrute.com/offre-emploi-consultant-senior-cyber-security-privacy-hf-recrutement-kpmg-maroc-casablanca-167761.html
Coordinateur Production et Développement Produit (H/F),Beaumanoir Maroc Sourcing Et Export,"Rattaché(e) au Merchandiser Manager, votre mission sera de participer à la performance et à atteindre les objectifs fixés du bureau de sourcing basé à Casablanca. Vous travaillerez de manière transversale afin...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 3 à 5 ans,Bac +4,"['Méthodes ', ' Process ', ' Industrialisation']",CDI,Non,https://www.rekrute.com/offre-emploi-coordinateur-production-et-developpement-produit-hf-recrutement-beaumanoir-maroc-sourcing-et-export-casablanca-167682.html
Responsable Crédit Management et Recouvrement,Super Cérame,"Rejoignez notre équipe dans le secteur du BTP / Génie Civil en tant que Responsable Crédit Management et Recouvrement à Casablanca ! Dans ce rôle essentiel, vous serez au cœur de la gestion financière de...",Casablanca (Maroc),,,,De 3 à 5 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-responsable-credit-management-et-recouvrement-recrutement-super-cerame-casablanca-167759.html
Project Manager (H/F),Pratt & Whitney,"Pratt & Whitney Maroc recherche actuellement un Projet Manager pour supporter ses activités d’implantation au Maroc. En tant que gestionnaire de projet, votre tâche principale consiste à planifier et à assurer...",Casablanca (Maroc),16.01.2025,09.03.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-project-manager-hf-recrutement-pratt-whitney-casablanca-167597.html
Manager Maintenance,Meski Invest - Riva Industries,"Dans le cadre de notre développement constant, et afin de soutenir notre croissance, nous recrutons un Manager Maintenance, qui aura pour mission d'assurer la gestion de l’ensemble des activités de maintenance mécanique,...",El Jadida (Maroc),16.01.2025,16.03.2025,Postes proposés: 1,De 10 à 20 ans,Bac +5 et plus,"['Production ', ' Qualité ', ' Sécurité ', ' Maintenance']",CDI,Non,https://www.rekrute.com/offre-emploi-manager-maintenance-recrutement-meski-invest---riva-industries-el-jadida-167758.html
Stage en Fiscalité Individuelle & Mobilité internationale F/H,Deloitte Extended Services,"Quel sera votre rôle dans la #TeamDeloitte ? Vous intégrez nos équipes GES. Au début et tout au long de votre mission, vous bénéficierez d'une formation collective en fiscalité internationale des...",Casablanca (Maroc),16.01.2025,16.03.2025,Postes proposés: 2,Débutant,Bac +5 et plus,"['Avocat ', ' Juriste ', ' Fiscaliste']",Stage,Non,https://www.rekrute.com/offre-emploi-stage-en-fiscalite-individuelle-mobilite-internationale-fh-recrutement-deloitte-extended-services-casablanca-167757.html
